Name,Genre,Year od release
우리집,"드라마, 블랙 코미디, 휴먼, 스릴러, 가족, 미스터리",2024
수사반장 1958,"시대극, 범죄, 코미디, 액션, 정의구현물, 스릴러, 형사, 휴먼, 청춘, 추리",2024
세번째 결혼,"범죄, 복수, 로맨스, 코미디",2023
원더풀 월드,"복수, 미스터리, 막장, 로맨스, 느와르, 서스펜스, 범죄, 휴먼, 스릴러, 피카레스크, 가족",2024
밤에 피는 꽃,"역사, 코미디, 액션, 수사",2024
오늘도 사랑스럽개,"로맨스, 코미디, 판타지, 미스터리",2023
열녀박씨 계약결혼던,"로맨스 코미디, 어반 판타지, 타임슬립, 가족, 오피스,  판타지, 역사",2023
연인,"판타지, 역사, 로맨스, 휴먼, 드라마",2023
하늘의 연인,"드라마, 가족, 로맨스, 막장, 피카레스크, 범죄, 복수",2023
넘버스:빌딩숲의 감시자들,"오피스, 복수, 범죄, 스릴러, 액션, 느와르",2023
조선변호사,"판타지, 역사, 로맨스, 복수, 법정, 액션",2023
마녀의게임,"복수, 미스터리, 드라마, 막장, 피카레스크",2022
금혼령,"역사, 로맨스, 코미디",2022
빅마우스,"범죄, 액션, 스릴러, 느와르, 미스터리, 서스펜스, 피카레스크, 복수",2022
옷소매 붉은끝동,"사극, 로맨스, 드라마",2021
일당백 집사,"판타지, 로맨스, 휴먼, 드라마",2022
팬레터를 보내주세요,"로맨스, 코미디",2022
금수저,"판타지, 멜로, 로맨스, 복수, 미스터리, 스릴러, 느와르, 드라마",2022
비밀의집,"복수, 범죄, 미스터리, 멜로, 피카레스크",2022
닥터로이어,"서스펜스, 의학, 법정, 복수",2022
내일,"휴먼, 판타지, 드라마, 오피스",2022
지금부터 쇼타임,"판타지, 로맨스, 코미디, 수사",2022
두번째 남편,"복수, 로맨스, 범죄, 느와르, 미스터리, 스릴러, 서스펜스, 피카레스크",2021
검은태양,"액션, 첩보, 느와르, 미스터리, 범죄, 스릴러, ",2021
미치지 않고서야,오피스,2021
카이로스,"판타지, 스릴러, 미스터리, 느와르, 서스펜스",2020
나를 사랑한 스파이,"로맨틱, 코미디 액션, 첩보, 드라마",2020
sf8,"옴니버스, SF, 판타지, 로맨스",2020
꼰대인턴,"오피스, 코미디",2020
그남자의 기억법,로맨스,2020
365:운명을 거스르는 1년,"판타지, 미스터리, 스릴러",2020
황금정원,"미스터리, 로맨스",2019
어쩌다 발견한 하루,"학원, 판타지, 로맨스",2019
나쁜 형사,"범죄, 수사, 느와르",2018
붉은 달 푸른 해,"미스터리, 스릴러, 느와르, 서스펜스, 범죄, 형사",2018
배드 파파,드라마,2018
내뒤에 테리우스,"첩보, 로맨스, 코미디",2018
시간,"범죄, 로맨스",2018
사생결단 로맨스,"로맨스, 코미디",2018
이리와 안아쥐,"범죄, 로맨스",2018
손꼭잡고 지는석양을 바라보자,로맨스,2018
위대한 유혹자,로맨스,2018
돈꽃,"범죄, 미스터리, 로맨스, 서스펜스, 느와르, 복수, 막장, 드라마, 피카레스크",2017
투깝스,"판타지, 수사물, 로맨스",2017
20세기 소년 소녀,로맨스,2017
별별 며느리,"막장, 드라마",2017
도독놈 도둑님,"멜로, 범죄, 풍자",2017
군주-가면의주인,"역사, 정치, 로맨스",2017
파수꾼,"범죄, 액션, 스릴러",2017
역적:백성을 훔진 도적,"사극, 액션, 드라마",2017
아버님 제가 모실게요,"막장, 드라마",2016
자체발광 오피스,"오피스, 로맨스, 코미디",2017
미씽나인,"드라마, 스릴러, 미스터리, 생존",2017
불어야 미풍아,로맨스,2016
역도요정 김복주,"성장물, 스포츠, 로맨스, 코미디",2016
황금 주머니,가족,2016
쇼핑왕 루이,"로맨스, 코미디",2016
몬스터,"로맨스, 액션, 첩보물, 코미디, 범죄, 서스펜스, 스릴러",2016
W 더블유,"판타지, 로맨스",2016
최고의 연인,"가족, 로맨스, 막장, 드라마",2015
굿바이 미스터 블랙,"복수, 로맨스",2016
결혼 계약,"가족, 로맨스",2016
화려한 유혹,로맨스,2015
불굴의차여사,"막장, 드라마",2015
"킬미,힐미","로맨스, 로맨틱 코미디, 드라마",2015
여자를 울려,"가족, 막장, 드라마",2015
화정,사극,2015
이브의 사랑,"막장, 드라마",2015
그녀는 예뻤다,"로맨스, 코미디",2015
